price_per_m,area,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
222323,55.1,13,3,73,19,80,26,0,0,169,2751,658,1400,2,7,2,1,4,0,19,0,2,0,51,55,45,50,7,2,70,19,31,5,1,3,0,213,64,0,0,0,0,4,1,73,15
350762,45.9,2,0,32,8,11,1,0,0,335,5528,1682,700,3,7,0,0,1,0,0,0,1,0,53,58,46,40,0,0,1,0,11,2,1,0,0,16,2,1,0,0,0,0,0,53,7
163072,68.5,4,1,86,32,24,10,1,1,170,5811,671,1000,9,10,4,2,1,0,4,1,2,1,44,27,32,26,2,0,23,9,11,2,1,1,0,119,49,0,0,11,6,1,0,50,6
212124,51.3,7,2,63,15,31,9,0,0,158,3608,765,2000,6,8,5,2,1,1,3,1,1,0,51,48,45,48,2,0,37,6,29,9,1,2,0,75,21,0,0,4,0,3,0,37,1
324632,49.0,2,1,48,18,20,2,0,0,129,4347,1142,800,3,6,1,0,1,0,0,0,3,0,61,63,50,55,1,0,6,1,5,1,1,0,0,74,5,1,0,0,0,0,0,194,39
227881,43.9,53,17,97,26,357,131,3,1,153,1714,243,300,7,9,8,3,8,4,163,60,6,2,49,51,40,42,102,17,235,90,46,11,1,8,5,1028,344,2,1,6,0,0,0,343,97
98939,56.6,0,0,41,15,7,2,0,0,127,7685,1832,2500,9,9,0,0,0,0,0,0,1,0,58,68,50,55,0,0,3,1,3,1,3,0,0,40,7,0,0,8,0,0,0,37,14
223863,45.3,53,17,97,26,357,131,3,1,153,1714,243,300,9,9,8,3,8,4,163,60,6,2,49,51,40,42,102,17,235,90,46,11,1,8,5,1028,344,2,1,6,0,0,0,343,97
99229,51.9,2,2,13,8,5,5,0,0,84,7314,2041,1400,8,9,0,0,0,0,1,1,2,0,41,51,40,47,0,0,3,0,0,0,3,0,0,25,18,0,0,0,0,0,0,73,15
145694,72.0,16,6,71,26,123,37,1,0,207,2693,40,600,6,6,4,3,6,3,12,4,3,0,53,44,43,32,25,4,53,28,47,8,1,4,2,267,101,1,0,9,5,0,0,90,41
222457,47.2,8,2,61,16,50,11,0,0,185,3194,838,1800,4,10,3,0,1,1,5,0,1,0,55,62,50,64,4,0,42,29,23,6,1,1,0,132,23,0,0,3,0,4,1,38,12
170500,75.4,1,0,41,12,11,0,0,0,297,4370,833,1200,2,10,1,0,1,0,1,0,1,0,60,50,50,50,0,0,6,1,2,0,1,1,0,26,0,0,0,0,0,0,0,141,1
78534,57.3,6,1,42,10,35,5,0,0,102,6652,296,800,1,5,1,1,4,1,2,0,1,0,51,37,45,32,1,0,40,7,4,3,3,2,1,173,31,1,0,0,0,0,0,149,13
180500,76.9,1,0,41,12,11,0,0,0,297,4370,833,1200,5,10,1,0,1,0,1,0,1,0,60,50,50,50,0,0,6,1,2,0,1,1,0,26,0,0,0,0,0,0,0,141,1
155000,65.1,1,0,41,12,11,0,0,0,297,4370,833,1200,3,10,1,0,1,0,1,0,1,0,60,50,50,50,0,0,6,1,2,0,1,1,0,26,0,0,0,0,0,0,0,141,1
54499,78.9,32,11,78,26,272,87,1,0,235,1200,417,800,16,27,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,3,5,1,434,144,3,1,0,0,1,0,167,49
188509,55.7,7,2,63,15,31,9,0,0,158,3608,765,1900,3,8,5,2,1,1,3,1,1,0,51,48,45,48,2,0,37,6,29,9,1,2,0,75,21,0,0,4,0,3,0,37,1
217734,62.9,3,0,59,20,6,1,0,0,369,4929,1265,1100,4,10,0,0,2,0,0,0,2,1,61,36,52,36,0,0,3,1,6,0,1,0,0,19,3,0,0,0,0,0,0,92,1
65307,60.3,32,11,78,26,272,87,1,0,235,1200,417,1400,9,18,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,3,5,1,434,144,3,1,0,0,1,0,167,49
71126,57.5,32,11,78,26,272,87,1,0,235,1200,417,1600,5,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,3,5,1,434,144,3,1,0,0,1,0,167,49
194166,60.0,7,0,22,6,14,1,0,0,322,6791,3561,1100,6,18,2,0,0,0,1,1,0,0,64,52,70,50,1,0,6,0,2,0,1,0,0,46,7,0,0,7,4,0,0,113,18
80502,63.9,32,11,78,26,272,87,1,0,235,1200,417,1500,2,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,3,5,1,434,144,3,1,0,0,1,0,167,49
67416,52.3,32,11,78,26,272,87,1,0,235,1200,417,1300,1,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,3,5,1,434,144,3,1,0,0,1,0,167,49
69497,58.8,32,11,78,26,272,87,1,0,235,1200,417,1600,1,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,3,5,1,434,144,3,1,0,0,1,0,167,49
87047,55.4,32,11,78,26,272,87,1,0,235,1200,417,1500,2,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,3,5,1,434,144,3,1,0,0,1,0,167,49
84275,57.6,32,11,78,26,272,87,1,0,235,1200,417,1500,16,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,3,5,1,434,144,3,1,0,0,1,0,167,49
65677,59.8,32,11,78,26,272,87,1,0,235,1200,417,1400,15,18,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,3,5,1,434,144,3,1,0,0,1,0,167,49
111782,50.1,5,2,35,17,13,1,0,0,202,5484,1037,4300,1,17,2,1,0,0,0,0,0,0,59,56,55,56,6,1,8,1,14,10,3,0,0,88,29,0,0,10,4,0,0,32,1
97003,58.3,6,2,33,12,37,7,0,0,94,6367,376,900,1,20,2,1,4,1,3,1,2,0,51,41,45,24,1,0,42,4,4,3,3,2,1,176,43,1,0,0,0,0,0,149,13
52029,69.4,32,11,78,26,272,87,1,0,235,1200,417,2300,9,11,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,3,5,1,434,144,3,1,0,0,1,0,167,49
94444,54.0,4,1,46,14,9,1,0,0,344,5796,315,2800,1,9,2,1,0,0,0,0,0,0,48,51,45,56,5,2,8,0,5,0,3,1,1,76,19,0,0,14,2,0,0,34,9
160465,43.0,0,0,37,8,7,0,1,0,277,6096,2024,1600,4,9,0,0,0,0,0,0,2,0,59,0,52,0,2,0,6,2,4,1,1,0,0,29,1,0,0,10,4,0,0,28,0
126530,49.0,27,19,84,31,124,52,0,0,223,3487,276,300,1,5,5,1,4,2,10,4,1,1,52,52,44,42,35,14,55,34,31,5,1,8,2,347,189,2,1,7,3,7,0,324,216
